㯦	qi
㯫	qu
㯮	shu
㯲	jin
㯸	jin
㯹	biao
㰃	mian
㰅	di
㰊	xian
㰎	zui
㰗	qi
㰘	yi
㰝	yi
㰟	ji
㰦	qu
㰨	xia
㰰	xia
㰶	you
㰹	xian
㰺	xia
㰻	yi
㱁	shi
㱅	yi
㱈	jin
㱉	ye
㱊	you
㱌	ye
㱘	an
㱞	yi
㱦	qi
㱱	hui
㱲	yi
㱵	fen
㱸	bi
㲁	kong
㲃	jiu
㲅	ji
㲍	zhi
㲔	xian
㲖	xiao
㲗	fu
㲘	qu
㲛	zhi
㲢	bian
㲺	ji
㲻	ni
㲼	yi
㲿	wang
㳁	ze
㳄	xian
㳇	fu
㳊	you
㳎	bian
㳏	shi
㳑	yi
㳒	bian
㳖	yi
㳙	xuan
㳫	zan
㳬	xuan
㳭	xian
㳵	ji
㳸	hua
㳹	wang
㳺	you
㳻	ze
㳼	bi
㴀	fan
㴁	yi
㴆	jin
㴉	ji
㴏	wang
㴐	mian
㴒	yi
㴔	yi
㴕	ji
㴗	you
㴛	zhi
㴜	bian
㴦	guan
㴯	zhi
㴲	si
㵂	shu
㵓	shi
㵗	ping
㵝	yi
㵧	ge
㵩	yi
㵪	xian
㵫	ni
㵭	zhu
㵲	wu
㵶	zuo
㵷	bian
㵿	xiao
㶆	zhu
㶍	xian
㶖	shu
㶗	fan
㶘	dian
㶚	ba
㶠	yi
㶦	jin
㶭	you
㶯	liu
㶳	jin
㶵	ren
㶾	biao
㷂	shu
㷄	hui
㷆	fu
㷇	hui
㷊	fen
㷐	hui
㷴	ge
㷻	wu
㷿	xian
㸃	dian
㸄	ji
㸋	fan
㸖	qu
㸜	kong
㸝	xian
㸟	zhi
㸡	shu
㸣	ye
㸨	jiu
㸩	an
㸭	ba
㸮	fen
㸲	zuo
㸷	shi
㸻	si
㸾	ren
㹄	ji
㹆	hui
㹍	di
㹏	jin
㹑	si
㹝	shi
㹡	xuan
㹥	zhu
㹨	you
㹫	yi
㹬	shi
㹭	yi
㹲	xiao
㹳	wu
㹶	ting
㹷	shi
㹸	ni
㹿	zhuo
㺇	si
㺌	xian
㺒	xiao
㺓	ze
㺕	fan
㺛	zhu
㺟	zhuo
㺠	you
㺤	xian
㺨	si
㺩	jiu
㺲	niu
㺴	ba
㺵	jiu
㺸	ping
㺹	bian
㺿	yi
㻂	ping
㻃	qu
㻅	hui
㻍	wu
㻑	ji
㻫	bi
㻰	mian
㻱	jin
㻶	bi
㻷	ji
㻹	xuan
㻿	shu
㼗	ting
㼝	fan
㼡	shu
㼢	yi
㼭	dian
㼯	dong
㼵	di
㽄	si
㽈	yi
㽉	xian
㽌	liu
㽕	you
㽞	liu
㽠	xia
㽢	an
㽬	fu
㽰	shu
㽹	fan
㽺	ji
㽻	zhi
㽾	wu
㾁	shu
㾇	mu
㾈	fu
㾊	ji
㾌	xuan
㾑	da
㾞	you
㾨	yi
㾯	hui
㾵	ji
㾻	zhu
㾾	xian
㿃	zhi
㿅	xian
㿌	xian
㿎	fen
㿒	dao
㿫	bi
㿬	ba
㿯	da
㿴	da
㿾	zhu
䀀	fan
䀁	you
䀂	an
䀆	jin
䀈	ji
䀎	mian
䀏	xuan
䀔	ren
䀙	qi
䀟	fan
䀣	bi
䀨	hua
䀲	mu
䀻	ping
䀿	di
䁂	xian
䁃	biao
䁆	ye
䁈	qi
䁉	qi
䁒	ji
䁔	xuan
䁗	kai
䁢	xuan
䁥	ni
䁦	qu
䁭	biao
䁵	bian
䁶	ji
䁹	bi
䁺	shi
䂂	qu
䂅	xian
䂇	niu
䂐	zhuo
䂑	ji
䂕	hui
䂖	shi
䂠	shi
䂡	di
䂢	dong
䂤	fu
䃅	di
䃇	mian
䃖	wu
䃜	yi
䃞	shu
䃠	xuan
䃡	jin
䃣	hui
䃮	da
䃱	xian
䃴	zhu
䃸	xian
䃻	ba
䃾	bi
䃿	fu
䄁	yi
䄂	liu
䄎	qi
䄢	qi
䄩	yi
䄫	qi
䄬	yi
䄮	fu
䄳	xian
䄶	bi
䄷	shi
䄺	zhi
䄿	yi
䅁	an
䅍	ting
䅎	you
䅏	hui
䅖	an
䅝	kong
䅢	jiu
䅤	qi
䅩	zhi
䅲	qi
䅵	zhuo
䅺	biao
䅿	hua
䆃	dao
䆈	zhi
䆉	ba
䆎	xian
䆒	jiu
䆜	you
䆭	xuan
䆮	jin
䆯	zhuo
䆶	jiu
䆽	qu
䆿	yi
䇁	si
䇃	si
䇈	hua
䇑	ba
䇛	zhi
䇠	zhu
䇡	zhu
䇥	ze
䇧	zhi
䇩	yi
䇫	ji
䇬	zhu
䇮	ren
䇵	yi
䇼	yi
䈀	san
䈂	ping
䈌	qu
䈎	ye
䈓	ge
䈕	shi
䈥	jin
䈽	jin
䉀	shu
䉅	zhi
䉈	san
䉊	fan
䉑	wu
䉒	fan
䉗	yi
䉜	zhi
䉝	yi
䉧	liu
䉨	yi
䉯	xian
䉰	xiao
䉳	xian
䉸	bian
䉻	qi
䉾	bi
䊆	jiu
䊉	san
䊑	xiang
䊓	shi
䊘	jiu
䊥	xiao
䊦	ye
䊧	bi
䊩	fan
䊭	dao
䊮	di
䊱	xian
䊾	mu
䋀	hua
䋄	wang
䋏	zuo
䋔	bi
䋕	ren
䋙	er
䋚	yi
䋞	wang
䋟	ji
䋣	fan
䋦	fan
䋧	qu
䋨	fu
䋩	er
䋮	jin
䋯	qi
䋴	niu
䋵	yi
䋹	fu
䋼	ting
䌃	xiao
䌇	hui
䌋	da
䌌	qi
䌍	jin
䌓	fan
䌗	fu
䌝	jin
䌤	shi
䌦	dao
䌳	shi
䌵	zhu
䌺	er
䌻	yi
䌾	ren
䌿	fu
䍃	you
䍄	dian
䍆	zhu
䍈	ping
䍕	di
䍖	fu
䍗	xuan
䍢	wu
䍤	ji
䍶	dong
䍻	xuan
䍼	zan
䎄	xiao
䎈	yi
䎔	fu
䎚	guan
䎟	er
䎠	er
䎢	qi
䎣	si
䎨	ye
䎬	ba
䎰	zuo
䎱	ba
䎵	bi
䎶	er
䎷	zhu
䎸	wu
䎺	zhi
䏃	mian
䏄	di
䏅	qi
䏉	shi
䏌	qi
䏑	di
䏓	guan
䏔	niu
䏕	ren
䏠	qi
䏡	shi
䏢	bi
䏤	si
䏨	hui
䏪	er
䏯	zhi
䏶	bi
䏹	xian
䏿	qi
䐀	ji
䐁	zhuo
䐄	xian
䐈	zhi
䐎	di
䐕	ji
䐗	zhu
䐙	ge
䐚	ji
䐛	da
䐟	xiang
䐡	qi
䐢	zhu
䐪	fan
䐭	zhi
䐶	zan
䑁	wu
䑇	zhi
䑕	shu
䑤	jin
䑧	fu
䑭	di
䑯	di
䑴	qi
䑵	mu
䑻	you
䒄	fu
䒇	fu
䒉	wu
䒓	kai
䒕	xiao
䒗	qi
䒜	niu
䒝	xiao
䒦	fan
䒧	qu
䒨	shi
䒪	bian
䒴	you
䒵	hao
䒺	jin
䒻	qi
䒼	qu
䒽	wang
䒾	yi
䓃	yi
䓅	qi
䓈	yi
䓉	ye
䓊	wu
䓋	zhi
䓌	zhi
䓏	fu
䓑	ping
䓚	qu
䓛	qu
䓜	zhi
䓡	zhi
䓦	dian
䓫	qi
䓬	zhuo
䓵	fu
䓹	yi
䓽	ji
䔅	ge
䔇	qi
䔗	xiang
䔘	zuo
䔟	yi
䔢	hua
䔬	yi
䔮	si
䔰	fu
䔱	yi
䔸	biao
䔾	qi
䕇	hui
䕉	ze
䕌	zhi
